origin_id,destination_id,fare_id
PAR,NGR,F_40
ROP,NGR,F_50
PRN,NGR,F_50
BEG,NGR,F_50
AME_B,NGR,F_55
MUN,NGR,F_55
YUG,NGR,F_60
JR5,NGR,F_60
JCP,NGR,F_60
PED,NGR,F_66
MAD,NGR,F_66
DGC,NGR,F_70
HTC,NGR,F_70
RDG,NGR,F_70
MYP,NGR,F_75
JNT,NGR,F_70
KPH,NGR,F_70
KUK,NGR,F_66
BLR,NGR,F_66
MSP,NGR,F_66
BTN,NGR,F_60
ERA,NGR,F_60
ESI,NGR,F_55
SRN,NGR,F_55
AME_R,NGR,F_55
PUN,NGR,F_55
IRM,NGR,F_60
KHA,NGR,F_60
LKP,NGR,F_60
ASM,NGR,F_66
NAM,NGR,F_60
GAB,NGR,F_60
OMC,NGR,F_60
MGB_R,NGR,F_60
MKL,NGR,F_60
NEM,NGR,F_60
MSB,NGR,F_66
DSN,NGR,F_66
CHP,NGR,F_70
VOM,NGR,F_70
LBN,NGR,F_70
SCR,NGR,F_40
GNH,NGR,F_50
MSH,NGR,F_50
RTC,NGR,F_50
CDP,NGR,F_55
NAR,NGR,F_55
SUB,NGR,F_55
NAG,HSG,F_30
UPL,HSG,F_18
STD,HSG,F_18
NGR,HSG,F_12
HSG,HSG,F_12
TAR,HSG,F_12
MET,HSG,F_18
SEC_E,HSG,F_30
PRG,HSG,F_40
PAR,HSG,F_40
ROP,HSG,F_40
PRN,HSG,F_50
BEG,HSG,F_50
AME_B,HSG,F_55
MUN,HSG,F_55
YUG,HSG,F_55
JR5,HSG,F_60
JCP,HSG,F_60
PED,HSG,F_60
MAD,HSG,F_66
DGC,HSG,F_66
HTC,HSG,F_70
RDG,HSG,F_70
MYP,HSG,F_70
JNT,HSG,F_70
KPH,HSG,F_66
KUK,HSG,F_66
BLR,HSG,F_60
MSP,HSG,F_60
BTN,HSG,F_60
ERA,HSG,F_60
ESI,HSG,F_55
SRN,HSG,F_55
AME_R,HSG,F_55
PUN,HSG,F_55
IRM,HSG,F_55
KHA,HSG,F_60
LKP,HSG,F_60
ASM,HSG,F_60
NAM,HSG,F_60
GAB,HSG,F_60
OMC,HSG,F_60
MGB_R,HSG,F_55
MKL,HSG,F_60
NEM,HSG,F_60
MSB,HSG,F_60
DSN,HSG,F_66
CHP,HSG,F_66
VOM,HSG,F_70
LBN,HSG,F_70
SCR,HSG,F_40
GNH,HSG,F_40
MSH,HSG,F_50
RTC,HSG,F_50
CDP,HSG,F_50
NAR,HSG,F_55
SUB,HSG,F_55
NAG,TAR,F_30
UPL,TAR,F_30
STD,TAR,F_18
NGR,TAR,F_18
HSG,TAR,F_12
TAR,TAR,F_12
MET,TAR,F_12
SEC_E,TAR,F_18
PRG,TAR,F_30
PAR,TAR,F_30
ROP,TAR,F_40
PRN,TAR,F_40
BEG,TAR,F_50
AME_B,TAR,F_50
MUN,TAR,F_50
YUG,TAR,F_55
JR5,TAR,F_55
JCP,TAR,F_60
PED,TAR,F_60
MAD,TAR,F_60
DGC,TAR,F_66
HTC,TAR,F_66
RDG,TAR,F_70
MYP,TAR,F_70
JNT,TAR,F_66
KPH,TAR,F_66
KUK,TAR,F_60
BLR,TAR,F_60
MSP,TAR,F_60
BTN,TAR,F_55
ERA,TAR,F_55
ESI,TAR,F_55
SRN,TAR,F_50
AME_R,TAR,F_50
PUN,TAR,F_55
IRM,TAR,F_55
KHA,TAR,F_55
LKP,TAR,F_60
ASM,TAR,F_60
NAM,TAR,F_60
GAB,TAR,F_55
OMC,TAR,F_55
MGB_R,TAR,F_55
MKL,TAR,F_55
NEM,TAR,F_60
MSB,TAR,F_60
DSN,TAR,F_60
CHP,TAR,F_66
VOM,TAR,F_66
LBN,TAR,F_70
SCR,TAR,F_40
GNH,TAR,F_40
MSH,TAR,F_40
RTC,TAR,F_50
CDP,TAR,F_50
NAR,TAR,F_50
SUB,TAR,F_55
NAG,MET,F_40
UPL,MET,F_30
STD,MET,F_30
NGR,MET,F_18
HSG,MET,F_18
TAR,MET,F_12
MET,MET,F_12
SEC_E,MET,F_12
PRG,MET,F_18
PAR,MET,F_30
ROP,MET,F_30
PRN,MET,F_40
BEG,MET,F_40
AME_B,MET,F_50
MUN,MET,F_50
YUG,MET,F_50
JR5,MET,F_55
JCP,MET,F_55
PED,MET,F_55
MAD,MET,F_60
DGC,MET,F_60
HTC,MET,F_66
RDG,MET,F_66
MYP,MET,F_70
JNT,MET,F_66
KPH,MET,F_60
KUK,MET,F_60
BLR,MET,F_60
MSP,MET,F_55
BTN,MET,F_55
ERA,MET,F_55
ESI,MET,F_50
SRN,MET,F_50
AME_R,MET,F_50
PUN,MET,F_50
IRM,MET,F_50
KHA,MET,F_55
LKP,MET,F_55
ASM,MET,F_55
NAM,MET,F_55
GAB,MET,F_55
OMC,MET,F_55
MGB_R,MET,F_50
MKL,MET,F_55
NEM,MET,F_55
MSB,MET,F_55
DSN,MET,F_60
CHP,MET,F_60
VOM,MET,F_66
LBN,MET,F_66
SCR,MET,F_30
GNH,MET,F_30
MSH,MET,F_40
RTC,MET,F_40
CDP,MET,F_40
NAR,MET,F_50
SUB,MET,F_50
NAG,SEC_E,F_40
UPL,SEC_E,F_40
STD,SEC_E,F_40
NGR,SEC_E,F_30
HSG,SEC_E,F_30
TAR,SEC_E,F_18
MET,SEC_E,F_12
SEC_E,SEC_E,F_12
PRG,SEC_E,F_12
PAR,SEC_E,F_18
ROP,SEC_E,F_18
PRN,SEC_E,F_30
BEG,SEC_E,F_40
AME_B,SEC_E,F_40
MUN,SEC_E,F_40
YUG,SEC_E,F_50
JR5,SEC_E,F_50
JCP,SEC_E,F_55
PED,SEC_E,F_55
MAD,SEC_E,F_55
DGC,SEC_E,F_60
HTC,SEC_E,F_60
RDG,SEC_E,F_60
MYP,SEC_E,F_66
JNT,SEC_E,F_60
KPH,SEC_E,F_60
KUK,SEC_E,F_55
BLR,SEC_E,F_55
MSP,SEC_E,F_55
BTN,SEC_E,F_50
ERA,SEC_E,F_50
ESI,SEC_E,F_50
SRN,SEC_E,F_40
AME_R,SEC_E,F_40
PUN,SEC_E,F_50
IRM,SEC_E,F_50
KHA,SEC_E,F_50
LKP,SEC_E,F_55
ASM,SEC_E,F_55
NAM,SEC_E,F_55
GAB,SEC_E,F_50
OMC,SEC_E,F_50
MGB_R,SEC_E,F_50
MKL,SEC_E,F_50
NEM,SEC_E,F_55
MSB,SEC_E,F_55
DSN,SEC_E,F_55
CHP,SEC_E,F_60
VOM,SEC_E,F_60
LBN,SEC_E,F_66
SCR,SEC_E,F_18
GNH,SEC_E,F_30
MSH,SEC_E,F_30
RTC,SEC_E,F_40
CDP,SEC_E,F_40
NAR,SEC_E,F_40
SUB,SEC_E,F_50
NAG,PRG,F_50
UPL,PRG,F_50
STD,PRG,F_40
NGR,PRG,F_40
HSG,PRG,F_40
TAR,PRG,F_30
MET,PRG,F_18
SEC_E,PRG,F_12
PRG,PRG,F_12
PAR,PRG,F_12
ROP,PRG,F_18
PRN,PRG,F_18
BEG,PRG,F_30
AME_B,PRG,F_40
MUN,PRG,F_40
YUG,PRG,F_40
JR5,PRG,F_50
JCP,PRG,F_50
PED,PRG,F_50
MAD,PRG,F_55
DGC,PRG,F_55
HTC,PRG,F_55
RDG,PRG,F_60
MYP,PRG,F_60
JNT,PRG,F_60
KPH,PRG,F_55
KUK,PRG,F_55
BLR,PRG,F_50
MSP,PRG,F_50
BTN,PRG,F_50
ERA,PRG,F_50
ESI,PRG,F_40
SRN,PRG,F_40
AME_R,PRG,F_40
PUN,PRG,F_40
IRM,PRG,F_40
KHA,PRG,F_50
LKP,PRG,F_50
ASM,PRG,F_50
NAM,PRG,F_50
GAB,PRG,F_50
OMC,PRG,F_50
MGB_R,PRG,F_40
MKL,PRG,F_50
NEM,PRG,F_50
MSB,PRG,F_50
DSN,PRG,F_55
CHP,PRG,F_55
VOM,PRG,F_60
LBN,PRG,F_60
SCR,PRG,F_12
GNH,PRG,F_18
MSH,PRG,F_18
RTC,PRG,F_30
CDP,PRG,F_30
NAR,PRG,F_40
SUB,PRG,F_40
NAG,PAR,F_50
UPL,PAR,F_50
STD,PAR,F_50
NGR,PAR,F_40
HSG,PAR,F_40
TAR,PAR,F_30
MET,PAR,F_30
SEC_E,PAR,F_18
PRG,PAR,F_12
PAR,PAR,F_12
ROP,PAR,F_12
PRN,PAR,F_18
BEG,PAR,F_18
AME_B,PAR,F_30
MUN,PAR,F_30
YUG,PAR,F_40
JR5,PAR,F_40
JCP,PAR,F_50
PED,PAR,F_50
MAD,PAR,F_50
DGC,PAR,F_55
HTC,PAR,F_55
RDG,PAR,F_60
MYP,PAR,F_60
JNT,PAR,F_55
KPH,PAR,F_55
KUK,PAR,F_50
BLR,PAR,F_50
MSP,PAR,F_50
BTN,PAR,F_40
ERA,PAR,F_40
ESI,PAR,F_40
SRN,PAR,F_30
AME_R,PAR,F_30
PUN,PAR,F_40
IRM,PAR,F_40
KHA,PAR,F_40
LKP,PAR,F_50
ASM,PAR,F_50
NAM,PAR,F_50
GAB,PAR,F_50
OMC,PAR,F_50
MGB_R,PAR,F_50
MKL,PAR,F_50
NEM,PAR,F_50
MSB,PAR,F_55
DSN,PAR,F_55
CHP,PAR,F_60
VOM,PAR,F_60
LBN,PAR,F_60
SCR,PAR,F_18
GNH,PAR,F_18
MSH,PAR,F_30
RTC,PAR,F_30
CDP,PAR,F_40
NAR,PAR,F_40
SUB,PAR,F_40
NAG,ROP,F_55
UPL,ROP,F_50
STD,ROP,F_50
NGR,ROP,F_50
HSG,ROP,F_40
TAR,ROP,F_40
MET,ROP,F_30
SEC_E,ROP,F_18
PRG,ROP,F_18
PAR,ROP,F_12
ROP,ROP,F_12
PRN,ROP,F_12
BEG,ROP,F_18
AME_B,ROP,F_30
MUN,ROP,F_30
YUG,ROP,F_40
JR5,ROP,F_40
JCP,ROP,F_40
PED,ROP,F_40
MAD,ROP,F_50
DGC,ROP,F_50
HTC,ROP,F_55
RDG,ROP,F_55
MYP,ROP,F_60
JNT,ROP,F_55
KPH,ROP,F_55
KUK,ROP,F_50
BLR,ROP,F_50
MSP,ROP,F_40
BTN,ROP,F_40
ERA,ROP,F_40
ESI,ROP,F_30
SRN,ROP,F_30
AME_R,ROP,F_30
PUN,ROP,F_30
IRM,ROP,F_40
KHA,ROP,F_40
LKP,ROP,F_40
ASM,ROP,F_50
NAM,ROP,F_50
GAB,ROP,F_50
OMC,ROP,F_50
MGB_R,ROP,F_50
MKL,ROP,F_50
NEM,ROP,F_55
MSB,ROP,F_55
DSN,ROP,F_60
CHP,ROP,F_60
VOM,ROP,F_60
LBN,ROP,F_66
SCR,ROP,F_18
GNH,ROP,F_30
MSH,ROP,F_30
RTC,ROP,F_40
CDP,ROP,F_40
NAR,ROP,F_40
SUB,ROP,F_50
NAG,PRN,F_55
UPL,PRN,F_55
STD,PRN,F_50
NGR,PRN,F_50
HSG,PRN,F_50
TAR,PRN,F_40
MET,PRN,F_40
SEC_E,PRN,F_30
PRG,PRN,F_18
PAR,PRN,F_18
ROP,PRN,F_12
PRN,PRN,F_12
BEG,PRN,F_12
AME_B,PRN,F_18
MUN,PRN,F_18
YUG,PRN,F_30
JR5,PRN,F_30
JCP,PRN,F_40
PED,PRN,F_40
MAD,PRN,F_50
DGC,PRN,F_50
HTC,PRN,F_50
RDG,PRN,F_55
MYP,PRN,F_55
JNT,PRN,F_55
KPH,PRN,F_50
KUK,PRN,F_50
BLR,PRN,F_40
MSP,PRN,F_40
BTN,PRN,F_40
ERA,PRN,F_30
ESI,PRN,F_30
SRN,PRN,F_18
AME_R,PRN,F_18
PUN,PRN,F_30
IRM,PRN,F_30
KHA,PRN,F_40
LKP,PRN,F_40
ASM,PRN,F_40
NAM,PRN,F_40
GAB,PRN,F_50
OMC,PRN,F_50
MGB_R,PRN,F_50
MKL,PRN,F_55
NEM,PRN,F_55
MSB,PRN,F_55
DSN,PRN,F_60
CHP,PRN,F_60
VOM,PRN,F_66
LBN,PRN,F_66
SCR,PRN,F_30
GNH,PRN,F_30
MSH,PRN,F_40
RTC,PRN,F_40
CDP,PRN,F_40
NAR,PRN,F_50
SUB,PRN,F_50
NAG,BEG,F_60
UPL,BEG,F_55
STD,BEG,F_55
NGR,BEG,F_50
HSG,BEG,F_50
TAR,BEG,F_50
MET,BEG,F_40
SEC_E,BEG,F_40
PRG,BEG,F_30
PAR,BEG,F_18
ROP,BEG,F_18
PRN,BEG,F_12
BEG,BEG,F_12
AME_B,BEG,F_12
MUN,BEG,F_18
YUG,BEG,F_18
JR5,BEG,F_30
JCP,BEG,F_30
PED,BEG,F_40
MAD,BEG,F_40
DGC,BEG,F_50
HTC,BEG,F_50
RDG,BEG,F_50
MYP,BEG,F_55
JNT,BEG,F_50
KPH,BEG,F_50
KUK,BEG,F_40
BLR,BEG,F_40
MSP,BEG,F_40
BTN,BEG,F_30
ERA,BEG,F_30
ESI,BEG,F_18
SRN,BEG,F_18
AME_R,BEG,F_12
PUN,BEG,F_18
IRM,BEG,F_18
KHA,BEG,F_30
LKP,BEG,F_30
ASM,BEG,F_40
NAM,BEG,F_40
GAB,BEG,F_40
OMC,BEG,F_50
MGB_R,BEG,F_55
MKL,BEG,F_50
NEM,BEG,F_50
MSB,BEG,F_55
DSN,BEG,F_55
CHP,BEG,F_60
VOM,BEG,F_60
LBN,BEG,F_66
SCR,BEG,F_40
GNH,BEG,F_40
MSH,BEG,F_40
RTC,BEG,F_50
CDP,BEG,F_50
NAR,BEG,F_50
SUB,BEG,F_50
NAG,AME_B,F_60
UPL,AME_B,F_60
STD,AME_B,F_55
NGR,AME_B,F_55
HSG,AME_B,F_55
TAR,AME_B,F_50
MET,AME_B,F_50
SEC_E,AME_B,F_40
PRG,AME_B,F_40
PAR,AME_B,F_30
ROP,AME_B,F_30
PRN,AME_B,F_18
BEG,AME_B,F_12
AME_B,AME_B,F_12
MUN,AME_B,F_12
YUG,AME_B,F_18
JR5,AME_B,F_18
JCP,AME_B,F_30
PED,AME_B,F_30
MAD,AME_B,F_40
DGC,AME_B,F_40
HTC,AME_B,F_40
RDG,AME_B,F_50
MYP,AME_B,F_50
JNT,AME_B,F_50
KPH,AME_B,F_40
KUK,AME_B,F_40
BLR,AME_B,F_30
MSP,AME_B,F_30
BTN,AME_B,F_18
ERA,AME_B,F_18
ESI,AME_B,F_12
SRN,AME_B,F_12
AME_R,AME_B,F_12
PUN,AME_B,F_12
IRM,AME_B,F_18
KHA,AME_B,F_18
LKP,AME_B,F_30
ASM,AME_B,F_30
NAM,AME_B,F_30
GAB,AME_B,F_40
OMC,AME_B,F_40
MGB_R,AME_B,F_40
MKL,AME_B,F_50
NEM,AME_B,F_50
MSB,AME_B,F_50
DSN,AME_B,F_55
CHP,AME_B,F_55
VOM,AME_B,F_60
LBN,AME_B,F_60
SCR,AME_B,F_40
GNH,AME_B,F_40
MSH,AME_B,F_50
RTC,AME_B,F_50
CDP,AME_B,F_50
NAR,AME_B,F_50
SUB,AME_B,F_50
NAG,MUN,F_60
UPL,MUN,F_60
STD,MUN,F_60
NGR,MUN,F_55
HSG,MUN,F_55
TAR,MUN,F_50
MET,MUN,F_50
SEC_E,MUN,F_40
PRG,MUN,F_40
PAR,MUN,F_30
ROP,MUN,F_30
PRN,MUN,F_18
BEG,MUN,F_18
AME_B,MUN,F_12
MUN,MUN,F_12
YUG,MUN,F_12
JR5,MUN,F_18
JCP,MUN,F_18
PED,MUN,F_30
MAD,MUN,F_30
DGC,MUN,F_40
HTC,MUN,F_40
RDG,MUN,F_50
MYP,MUN,F_55
JNT,MUN,F_50
KPH,MUN,F_40
KUK,MUN,F_40
BLR,MUN,F_30
MSP,MUN,F_30
BTN,MUN,F_30
ERA,MUN,F_18
ESI,MUN,F_18
SRN,MUN,F_12
AME_R,MUN,F_12
PUN,MUN,F_12
IRM,MUN,F_18
KHA,MUN,F_18
LKP,MUN,F_30
ASM,MUN,F_40
NAM,MUN,F_40
GAB,MUN,F_40
OMC,MUN,F_40
MGB_R,MUN,F_50
MKL,MUN,F_50
NEM,MUN,F_50
MSB,MUN,F_55
DSN,MUN,F_55
CHP,MUN,F_55
VOM,MUN,F_60
LBN,MUN,F_60
SCR,MUN,F_40
GNH,MUN,F_50
MSH,MUN,F_50
RTC,MUN,F_50
CDP,MUN,F_55
NAR,MUN,F_50
SUB,MUN,F_50
NAG,YUG,F_66
UPL,YUG,F_60
STD,YUG,F_60
NGR,YUG,F_60
HSG,YUG,F_55
TAR,YUG,F_55
MET,YUG,F_50
SEC_E,YUG,F_50
PRG,YUG,F_40
PAR,YUG,F_40
ROP,YUG,F_40
PRN,YUG,F_30
BEG,YUG,F_18
AME_B,YUG,F_18
MUN,YUG,F_12
YUG,YUG,F_12
JR5,YUG,F_12
JCP,YUG,F_18
PED,YUG,F_18
MAD,YUG,F_18
DGC,YUG,F_30
HTC,YUG,F_40
RDG,YUG,F_40
MYP,YUG,F_55
JNT,YUG,F_50
KPH,YUG,F_50
KUK,YUG,F_40
BLR,YUG,F_40
MSP,YUG,F_40
BTN,YUG,F_30
ERA,YUG,F_30
ESI,YUG,F_18
SRN,YUG,F_18
AME_R,YUG,F_18
PUN,YUG,F_18
IRM,YUG,F_30
KHA,YUG,F_30
LKP,YUG,F_40
ASM,YUG,F_40
NAM,YUG,F_40
GAB,YUG,F_40
OMC,YUG,F_50
MGB_R,YUG,F_50
MKL,YUG,F_50
NEM,YUG,F_55
MSB,YUG,F_55
DSN,YUG,F_60
CHP,YUG,F_60
VOM,YUG,F_60
LBN,YUG,F_66
SCR,YUG,F_50
GNH,YUG,F_50
MSH,YUG,F_50
RTC,YUG,F_55
CDP,YUG,F_55
NAR,YUG,F_55
SUB,YUG,F_50
NAG,JR5,F_66
UPL,JR5,F_66
STD,JR5,F_60
NGR,JR5,F_60
HSG,JR5,F_60
TAR,JR5,F_55
MET,JR5,F_55
SEC_E,JR5,F_50
PRG,JR5,F_50
PAR,JR5,F_40
ROP,JR5,F_40
PRN,JR5,F_30
BEG,JR5,F_30
AME_B,JR5,F_18
MUN,JR5,F_18
YUG,JR5,F_12
JR5,JR5,F_12
JCP,JR5,F_12
PED,JR5,F_12
MAD,JR5,F_18
DGC,JR5,F_30
HTC,JR5,F_30
RDG,JR5,F_40
MYP,JR5,F_55
JNT,JR5,F_55
KPH,JR5,F_50
KUK,JR5,F_50
BLR,JR5,F_40
MSP,JR5,F_40
BTN,JR5,F_40
ERA,JR5,F_30
ESI,JR5,F_30
SRN,JR5,F_18
AME_R,JR5,F_18
PUN,JR5,F_30
IRM,JR5,F_30
KHA,JR5,F_40
LKP,JR5,F_40
ASM,JR5,F_40
NAM,JR5,F_40
GAB,JR5,F_50
OMC,JR5,F_50
MGB_R,JR5,F_50
MKL,JR5,F_55
NEM,JR5,F_55
MSB,JR5,F_55
DSN,JR5,F_60
CHP,JR5,F_60
VOM,JR5,F_66
LBN,JR5,F_66
SCR,JR5,F_50
GNH,JR5,F_50
MSH,JR5,F_55
RTC,JR5,F_55
CDP,JR5,F_55
NAR,JR5,F_55
SUB,JR5,F_55
NAG,JCP,F_66
UPL,JCP,F_66
STD,JCP,F_66
NGR,JCP,F_60
HSG,JCP,F_60
TAR,JCP,F_60
MET,JCP,F_55
SEC_E,JCP,F_55
PRG,JCP,F_50
PAR,JCP,F_50
ROP,JCP,F_40
PRN,JCP,F_40
BEG,JCP,F_30
AME_B,JCP,F_30
MUN,JCP,F_18
YUG,JCP,F_18
JR5,JCP,F_12
JCP,JCP,F_12
PED,JCP,F_12
MAD,JCP,F_12
DGC,JCP,F_18
HTC,JCP,F_30
RDG,JCP,F_30
MYP,JCP,F_60
JNT,JCP,F_55
KPH,JCP,F_55
KUK,JCP,F_50
BLR,JCP,F_50
MSP,JCP,F_40
BTN,JCP,F_40
ERA,JCP,F_40
ESI,JCP,F_30
SRN,JCP,F_30
AME_R,JCP,F_30
PUN,JCP,F_30
IRM,JCP,F_40
KHA,JCP,F_40
LKP,JCP,F_40
ASM,JCP,F_50
NAM,JCP,F_50
GAB,JCP,F_50
OMC,JCP,F_50
MGB_R,JCP,F_55
MKL,JCP,F_55
NEM,JCP,F_55
MSB,JCP,F_60
DSN,JCP,F_60
CHP,JCP,F_66
VOM,JCP,F_66
LBN,JCP,F_66
SCR,JCP,F_50
GNH,JCP,F_55
MSH,JCP,F_55
RTC,JCP,F_60
CDP,JCP,F_60
NAR,JCP,F_55
SUB,JCP,F_55
NAG,PED,F_70
UPL,PED,F_66
STD,PED,F_66
NGR,PED,F_66
HSG,PED,F_60
TAR,PED,F_60
MET,PED,F_55
SEC_E,PED,F_55
PRG,PED,F_50
PAR,PED,F_50
ROP,PED,F_40
PRN,PED,F_40
BEG,PED,F_40
AME_B,PED,F_30
MUN,PED,F_30
YUG,PED,F_18
JR5,PED,F_12
JCP,PED,F_12
PED,PED,F_12
MAD,PED,F_12
DGC,PED,F_18
HTC,PED,F_18
RDG,PED,F_30
MYP,PED,F_60
JNT,PED,F_55
KPH,PED,F_55
KUK,PED,F_50
BLR,PED,F_50
MSP,PED,F_50
BTN,PED,F_40
ERA,PED,F_40
ESI,PED,F_40
SRN,PED,F_30
AME_R,PED,F_30
PUN,PED,F_30
IRM,PED,F_40
KHA,PED,F_40
LKP,PED,F_50
ASM,PED,F_50
NAM,PED,F_50
GAB,PED,F_50
OMC,PED,F_55
MGB_R,PED,F_55
MKL,PED,F_55
NEM,PED,F_60
MSB,PED,F_60
DSN,PED,F_60
CHP,PED,F_66
VOM,PED,F_66
LBN,PED,F_70
SCR,PED,F_55
GNH,PED,F_55
MSH,PED,F_55
RTC,PED,F_60
CDP,PED,F_60
NAR,PED,F_60
SUB,PED,F_55
NAG,MAD,F_70
UPL,MAD,F_70
STD,MAD,F_66
NGR,MAD,F_66
HSG,MAD,F_66
TAR,MAD,F_60
MET,MAD,F_60
SEC_E,MAD,F_55
PRG,MAD,F_55
PAR,MAD,F_50
ROP,MAD,F_50
PRN,MAD,F_50
BEG,MAD,F_40
AME_B,MAD,F_40
MUN,MAD,F_30
YUG,MAD,F_18
JR5,MAD,F_18
JCP,MAD,F_12
PED,MAD,F_12
MAD,MAD,F_12
DGC,MAD,F_12
HTC,MAD,F_18
RDG,MAD,F_18
MYP,MAD,F_60
JNT,MAD,F_60
KPH,MAD,F_55
KUK,MAD,F_55
BLR,MAD,F_50
MSP,MAD,F_50
BTN,MAD,F_50
ERA,MAD,F_40
ESI,MAD,F_40
SRN,MAD,F_40
AME_R,MAD,F_40
PUN,MAD,F_40
IRM,MAD,F_40
KHA,MAD,F_50
LKP,MAD,F_50
ASM,MAD,F_50
NAM,MAD,F_55
GAB,MAD,F_55
OMC,MAD,F_55
MGB_R,MAD,F_55
MKL,MAD,F_60
NEM,MAD,F_60
MSB,MAD,F_60
DSN,MAD,F_66
CHP,MAD,F_66
VOM,MAD,F_70
LBN,MAD,F_70
SCR,MAD,F_55
GNH,MAD,F_55
MSH,MAD,F_60
RTC,MAD,F_60
CDP,MAD,F_60
NAR,MAD,F_60
SUB,MAD,F_60
NAG,DGC,F_75
UPL,DGC,F_70
STD,DGC,F_70
NGR,DGC,F_70
HSG,DGC,F_66
TAR,DGC,F_66
MET,DGC,F_60
SEC_E,DGC,F_60
PRG,DGC,F_55
PAR,DGC,F_55
ROP,DGC,F_50
PRN,DGC,F_50
BEG,DGC,F_50
AME_B,DGC,F_40
MUN,DGC,F_40
YUG,DGC,F_30
JR5,DGC,F_30
JCP,DGC,F_18
PED,DGC,F_18
